text,trafficflow
Smooth roadway conditions,0
No traffic jam,0
Smooth transit,0
Sparse vehicular movement,0
Low traffic occupancy,0
A power outage at the toll booth is causing significant delays.,1
"Roadside emergency repairs are reducing highway lanes, causing traffic.",1
heavy commute times,1
Sparse road conditions,0
Road maintenance equipment blocking a lane is causing delays.,1
Flexible work schedules led to reduced congestion during peak hours.,0
Merging traffic on the freeway is causing congestion near the city limits.,1
bumper to bumper traffic reported,1
Polished,0
Construction on the main road has caused severe delays for drivers.,1
"With few events, traffic was light in popular areas.",0
Luminous,0
Clear weather led to easy and low-traffic driving on freeways.,0
Limited vehicle movement,0
Severe thunderstorms are causing vehicles to move cautiously.,1
Traffic downtime,0
Unobstructed,0
fast flow,1
Sidewalk construction is affecting the flow of vehicles in the area.,1
Smooth signal timings allowed for low traffic in business areas.,0
The absence of bottlenecks near the city center resulted in low traffic.,0
Traffic is heavy near the central business district.,1
vigorous flow,1
Overloaded roads,1
Road closures are causing additional congestion.,1
The low volume of trucks kept commercial district traffic flowing.,0
Minimal travel disruptions,0
Congestion is high due to construction around town.,1
Traffic jam caused by an accident.,1
Off-season tourism contributed to low traffic on coastal roads.,0
"With fewer detours, traffic remained light on major roads.",0
Traffic jam caused by an accident.,1
dense traffic flow,1
The evening rush is causing significant congestion.,1
Heavy pedestrian traffic in the business district is slowing down cars.,1
Heavy road congestion,1
Apparent,0
Slow-moving traffic,1
Open expressways,0
strong flow,1
There are delays due to a high volume of vehicles on the road.,1
Traffic clearance,0
Unobstructed,0
peak traffic hours,1
evening rush delays,1
Busy streets,1
Pothole repairs are slowing down traffic on the city’s main road.,1
Efficient flow was observed on roads with well-marked lanes.,0
ideal traffic conditions,0
Low traffic density,0
Definite,0
Traffic downtime,0
Fluid,0
Rush hour,1
highway congestion,1
Heavy traffic jam,1
Open freeway,0
Traffic jam caused by an accident.,1
Empty city streets,0
Construction of a new flyover is affecting nearby traffic.,1
"Quick toll booth processing reduced delays, maintaining low traffic on the expressway.",0
Dry road conditions and clear skies helped maintain smooth flow.,0
Lane changes for new road paint are creating congestion on the highway.,1
busy intersections,1
slow transit times,1
Clear motorways,0
road work causing delays on the main avenue,1
Few vehicles,0
Quiet streets,0
Clear travel,0
strong flow,1
The early morning hours saw low traffic across most major routes.,0
Clear roads,0
Clear road signage allowed for easy travel with minimal traffic.,0
substantial flow,1
"Clear, dry roads led to easy travel across town.",0
Low roadway congestion,0
Drivers are facing a slowdown due to a marathon route along the city streets.,1
robust flow,1
high flow,1
Mellow,0
Stormy weather has slowed down traffic significantly.,1
Few vehicles,0
no delay,0
frequent traffic halts,1
expect delays on main street because of construction hours,1
The early morning hours saw low traffic across most major routes.,0
Well-lit,0
Many roads are jammed with cars during rush hour.,1
Dense road traffic,1
The road was clear thanks to early holiday travel.,0
The commute has slowed down due to heavy rain.,1
Clear driving paths,0
Heavy traffic jam,1
scattered traffic,0
long tailbacks,1
Traffic is crawling near the concert venue due to increased cars.,1
The approach to the toll plaza is slow due to malfunctioning barriers.,1
Traffic is moving slowly due to ongoing construction.,1
"Road expansions have improved traffic flow, reducing congestion.",0
Slow moving traffic ahead.,1
Visible,0
Weekend mornings typically see low traffic on the highways.,0
Traffic jam,1
Empty roads,0
extensive road delays,1
Smooth signal timings allowed for low traffic in business areas.,0
Light vehicle presence,0
Busy intersections,1
Crowded highways,1
Free-flowing traffic,0
Clear road signage allowed for easy travel with minimal traffic.,0
congested streets,1
Busy streets,1
The streets are gridlocked due to ongoing road repairs.,1
Slow moving traffic ahead.,1
Clear travel was reported on roads unaffected by construction.,0
jam-packed roads,1
Traffic is particularly slow in the downtown area.,1
Traffic gridlock,1
"A section of the highway is closed for bridge maintenance, affecting traffic.",1
expect delays on main street because of construction hours,1
substantial flow,1
saturated traffic patterns,1
Heavy congestion during rush hour.,1
Traffic congestion has increased due to late-night events.,1
Unclogged highways,0
"With fewer detours, traffic remained light on major roads.",0
The evening rush is causing significant congestion.,1
Clear commute,0
"Flood warnings are making vehicles take alternate, congested routes.",1
Efficient flow was observed on roads with well-marked lanes.,0
Open freeway,0
busiest hours,1
Road resurfacing on the bridge is causing lane closures and delays.,1
No heavy traffic,0
dense commuter traffic,1
Safety improvements helped maintain a smooth and steady traffic flow.,0
There was no traffic,0
"A power outage has affected traffic lights, causing confusion and delays.",1
Open thoroughfares,0
Sparse road traffic,0
There’s significant traffic on the way to the business district.,1
Smooth travel,0
Lane closures for construction are adding to delays.,1
Low traffic incidents,0
High traffic volume,1
Clear street signs helped reduce vehicle slowdowns in town.,0
Road blocked; please detour.,1
No delay,0
Traffic downtime,0
A major flood has led to closed streets and traffic congestion.,1
"With fewer detours, traffic remained light on major roads.",0
reduced traffic,0
Bright,0
Low volume,0
Crowded commute,1
Upgraded bridge infrastructure kept traffic steady and low.,0
Quiet suburban streets had minimal traffic during the midday hours.,0
severe congestion on the bridge during rush hours,1
Pure,0
Traffic surge,1
Off-peak traffic,0
Traffic is worse than usual due to slippery roads.,1
Easy commute,0
Limited road users,0
High tourist season has led to heavier-than-normal road traffic.,1
No delay,0
An absence of large trucks helped maintain smooth traffic flow.,0
Slow-moving traffic,1
Traffic remained smooth as truck routes were diverted away from city streets.,0
Traffic downtime,0
sparse traffic,0
Midday hours saw low traffic due to accident-free roads.,0
Traffic dip,0
Heavy fog at dawn is reducing visibility and slowing traffic.,1
An absence of road incidents kept traffic light in the suburbs.,0
Overloaded intersections,1
frequent stops,1
"With fewer road incidents, traffic moved smoothly in all directions.",0
Heavy fog and ice have made morning traffic especially slow.,1
Rainy conditions are causing delays on the main roads.,1
frequent traffic halts,1
Traffic ease,0
Overwhelmed roads,1
Minimal traffic,0
Free flowing traffic,0
Open thoroughfares,0
Many roads are backed up due to heavy commuter traffic.,1
Overcrowded parking lots are creating traffic jams around the stadium.,1
Favorable weather conditions helped maintain smooth traffic.,0
The absence of heavy rain kept road conditions clear.,0
heavy flow,1
quick commute with minimal stops,0
Congested intersections,1
Stable,0
Sparse traffic density,0
rush hour choke points,1
Low rush hour,0
Weekend tourism is adding to the usual congestion on the coast road.,1
Nighttime construction restrictions have kept traffic minimal.,0
slow moving traffic ahead,1
Open lanes,0
substantial flow,1
expected delays,1
traffic is flowing nicely,0
Clear,0
There are delays due to a high volume of vehicles on the road.,1
Traffic is heavy in areas affected by construction.,1
saturated traffic patterns,1
moderate traffic,1
Sharp,0
smooth traffic,0
High traffic is expected in popular shopping areas.,1
Drivers are facing a slowdown due to a marathon route along the city streets.,1
Inadequate street lighting is causing drivers to slow down at night.,1
Enhanced road lighting contributed to efficient and low traffic movement.,0
School zone traffic is adding to the morning rush hour bottleneck.,1
Busy commute,1
high traffic,1
Self-evident,0
Low traffic scenario,0
Clear traffic conditions,0
Construction near the airport is backing up cars on multiple lanes.,1
Fallen rocks on the road due to landslides are impacting traffic.,1
Free-flowing traffic,0
Light showers are leading to cautious driving and traffic.,1
Balanced,0
Empty city streets,0
low volume traffic,0
Clear drive times,0
favourable driving conditions,0
Rain and fog have contributed to slow-moving traffic.,1
The commute has slowed down due to heavy rain.,1
Good weather helped keep traffic light on the main highways.,0
major congestion on main roads,1
Low traffic hindrance,0
Uncrowded drive,0
A detour around the fallen power line is adding to travel time.,1
Low volume traffic,0
Luminous,0
Easy to go,0
Moderate traffic; expect delays.,1
Light road usage,0
Thick traffic,1
Special event planning helped maintain low traffic in popular spots.,0
Gentle breeze,0
Packed driveways,1
Road maintenance equipment blocking a lane is causing delays.,1
heavy traffic,1
Road maintenance equipment blocking a lane is causing delays.,1
The commute has slowed down due to heavy rain.,1
Few vehicles,0
traffic jam caused by an accident,1
Traffic is particularly slow in the downtown area.,1
Low transit congestion,0
Heavy traffic,1
Low pedestrian crossings during the night kept traffic moving steadily.,0
The early weekend rush led to a low-traffic Saturday afternoon.,0
No traffic blocks,0
rush hour gridlock,1
Heavy vehicular movement,1
A major flood has led to closed streets and traffic congestion.,1
Sparse intersection traffic,0
free flowing traffic,0
no backups,0
Reduced road activity,0
Heavy traffic is common during this time of day.,1
Peak traffic,1
A large event at the stadium has led to road closures and heavy traffic.,1
Minimal traffic congestion,0
Unoccupied intersections,0
Packed highways,1
"Roadside emergency repairs are reducing highway lanes, causing traffic.",1
Low rush hour,0
Busy streets,1
ideal flow,0
traffic backups,1
Even,0
Heavy fog and ice have made morning traffic especially slow.,1
Lane restrictions have made the traffic even heavier.,1
Drivers are facing delays due to detours around the construction zone.,1
Traffic remained low as fewer people drove during the off-season.,0
stop-and-go traffic,1
Unobstructed roads,0
Low rush hour,0
there was no traffic,0
Heavy traffic,1
"Hail storms have led to accidents, which are affecting road conditions.",1
Heavy traffic is common during this time of day.,1
Road blocked; please detour.,1
packed streets,1
Overfilled roads,1
Traffic is bumper-to-bumper on the highway.,1
traffic jam caused by an accident,1
Low pedestrian crossings during the night kept traffic moving steadily.,0
Clogged arteries,1
Uninterrupted travel,0
Traffic is bumper-to-bumper on the highway.,1
Uncluttered intersections,0
Low traffic intervals,0
Roadblock for a protest rally is diverting vehicles to smaller roads.,1
Oil spill cleanup is restricting traffic in the left lane of the highway.,1
Rain has reduced visibility and is contributing to traffic backup.,1
Safety improvements helped maintain a smooth and steady traffic flow.,0
peak rush,1
The lack of special events helped maintain smooth traffic.,0
Sparse,0
infrequent traffic,0
saturated traffic patterns,1
Traffic is worse than usual due to slippery roads.,1
substantial flow,1
Few vehicles,0
Traffic is crawling due to bad weather conditions.,1
Well-lit,0
carefree driving,0
Crowded urban roads,1
Packed streets,1
Long queues of cars are stuck due to traffic jams.,1
smooth traffic,0
busy roads,1
High vehicle density,1
Rain has reduced visibility and is contributing to traffic backup.,1
saturated roads,1
Wide-open expressways,0
Poor visibility due to fog is causing slow movement on the bridge.,1
Few delays occurred with low traffic on the new bypass route.,0
Relaxed driving conditions,0
Traffic was light due to high public transit use during rush hour.,0
The road was empty after the construction project finished.,0
Traffic is moving slowly due to a detour around flood-affected areas.,1
Rain and fog have contributed to slow-moving traffic.,1
major traffic delays,1
Freeway clearance,0
Traffic dip,0
intense vehicle crowding,1
Smooth-flowing,0
The absence of bottlenecks near the city center resulted in low traffic.,0
An absence of events downtown led to low traffic in the area.,0
Bad weather has resulted in slow traffic on highways.,1
packed expressways,1
An accident at the intersection has caused traffic to back up for miles.,1
Packed streets,1
Moderate traffic; expect delays.,1
clear roads,0
Mellow,0
long delays due to high traffic,1
Road resurfacing on the bridge is causing lane closures and delays.,1
An accident in the tunnel has brought traffic to a standstill.,1
An absence of large trucks helped maintain smooth traffic flow.,0
"Quick toll booth processing reduced delays, maintaining low traffic on the expressway.",0
Intense traffic,1
thin traffic,0
The roads are heavily trafficked due to rain and fog.,1
Off-peak,0
Traffic is extremely heavy near the shopping district.,1
Extra lanes near the sports complex kept event-day traffic low.,0
Unoccupied roadways,0
Weekend events outside the city kept traffic light on downtown streets.,0
Road gridlock,1
Bumper-to-bumper traffic reported.,1
Traffic is moving at a snail’s pace due to bridge inspections.,1
Sidewalk construction is affecting the flow of vehicles in the area.,1
Sandstorm warnings have slowed down traffic in the desert areas.,1
A farmer’s market event has blocked certain downtown streets.,1
rapid traffic,0
Smooth traffic flow was observed after rush hour ended.,0
Heavy commute,1
Weather warnings about black ice are making drivers slow down.,1
Traffic jam,1
Additional signs for exits helped reduce bottlenecks on the highway.,0
long tailbacks,1
Low traffic interference,0
Thick traffic,1
intense vehicle crowding,1
Unobstructed roads,0
no backups,0
Lane closures for bridge repairs are causing severe congestion.,1
Smooth ride,0
Heavy traffic is typical during the morning commute.,1
Lucid,0
Legible,0
Traffic remained low with no major incidents or roadblocks.,0
Traffic is heavy near the central business district.,1
Congested highway,1
Mellow,0
There’s been a lot of traffic this morning due to the weather.,1
"Daily routes were clear, allowing for steady movement with low traffic.",0
Low rainfall contributed to smooth and low traffic on major routes.,0
Soft touch,0
uncongested,0
"With few events, traffic was light in popular areas.",0
frequent stops,1
severe congestion on the bridge during rush hours,1
Maintenance on alternative roads kept the primary routes clear and low in traffic.,0
Traffic pile-up,1
it was smooth,0
Uncrowded roads,0
overflowing lanes,1
Heavy traffic jam,1
no traffic jam,0
Limited traffic interruptions,0
Clean,0
traffic is light,0
Definite,0
A fallen tree across two lanes is causing a major traffic delay.,1
Construction of a new flyover is affecting nearby traffic.,1
Bad weather is causing heavy traffic across the city.,1
An accident in the tunnel has brought traffic to a standstill.,1
Poor visibility due to fog is causing slow movement on the bridge.,1
"The road was empty late at night, making for easy driving.",0
Traffic saturation,1
Large trucks are clogging up the roads near the industrial zone.,1
Sparse traffic,0
A pile-up on the highway has led to a major traffic jam.,1
Slow moving traffic ahead.,1
"Flood warnings are making vehicles take alternate, congested routes.",1
Traffic jam caused by an accident.,1
Crowded roads,1
Smooth roadway conditions,0
An influx of weekend visitors is creating traffic congestion on highways.,1
heavy traffic due to constructions,1
A large event at the stadium has led to road closures and heavy traffic.,1
Traffic clearance,0
Rush hour,1
Moderate,0
Reduced road activity,0
Major streets are jam-packed with vehicles today.,1
Open expressways,0
There is an unexpected roadblock due to a fallen tree on the route.,1
Few cars,0
Low volume traffic,0
Drivers are moving at a crawl due to slippery roads.,1
extensive road delays,1
The city center is seeing high traffic due to road repairs.,1
Dense traffic,1
Empty highways,0
Traffic is extremely heavy near the shopping district.,1
heavy road use,1
Traffic gap,0
Low rush-hour traffic was seen on roads with minimal delays.,0
no backups,0
Sparse vehicular density,0
Heavy traffic is typical during the morning commute.,1
Clogged intersections,1
Few vehicles,0
there was no traffic,0
Citywide construction is causing traffic bottlenecks.,1
Luminous,0
frequent hold-ups in traffic,1
Reduced traffic volume,0
Limited traffic,0
strong flow,1
Stable,0
intense traffic build-up,1
Early morning hours saw low traffic due to cool weather.,0
Heavy road traffic,1
Jam-packed roads,1
bumper to bumper traffic reported,1
Rain and traffic are making travel time longer.,1
Clear weather conditions contributed to smooth traffic on the highway.,0
Traffic buildup,1
Citywide construction is causing traffic bottlenecks.,1
Traffic overload,1
Open streetscapes,0
intense traffic build-up,1
Drivers are facing a slowdown due to a marathon route along the city streets.,1
No delay,0
Gentle breeze,0
Citywide construction is causing traffic bottlenecks.,1
The absence of traffic jams kept highway speeds steady.,0
"Newly installed roundabouts improved traffic flow, reducing delays.",0
crowded highways during rush,1
Heavy congestion during rush hour.,1
Infrequent traffic,0
The weather is causing heavy delays on major routes.,1
Overcrowded intersections,1
Free passage,0
Clear motorways,0
The roads are jammed with vehicles after work hours.,1
evening commute,1
few cars,0
Construction is causing bottlenecks in the area.,1
An ongoing parade route is blocking the main street in the downtown area.,1
Uncrowded highways,0
Heavy congestion during rush hour.,1
incongested,0
Concrete,0
Slow moving traffic ahead.,1
Public transit upgrades have helped reduce vehicle numbers on the road.,0
Winding mountain roads with heavy snow are creating dangerous conditions.,1
Limited traffic,0
Low density,0
There’s heavy traffic on all routes leading downtown.,1
dense commuter traffic,1
Few breakdowns contributed to a smooth drive on the freeway.,0
traffic bottleneck,1
"Clear roads, no delays",0
"Lane closures have been lifted, allowing for smoother traffic on the bridge.",0
Weather warnings about black ice are making drivers slow down.,1
Road blocked; please detour.,1
Empty streetscape,0
Underutilized roads,0
The local parade has led to blocked streets and heavy congestion.,1
Quiet streets,0
Minimal delays,0
It’s taking longer than usual because of rush hour traffic.,1
Heavy traffic conditions,1
Empty driveways,0
traffic jam caused by an accident,1
A lack of snowplows after a storm has created gridlock on some roads.,1
Persistent rain has led to slow-moving traffic.,1
The main road is heavily congested with vehicles.,1
Unclogged highways,0
Accident-free highways kept traffic low in the city center.,0
Minimal vehicle interaction,0
traffic is flowing well,0
Luminous,0
"The drive is slow due to slippery, wet roads.",1
Clogged intersections,1
Heavy congestion during rush hour.,1
Heavy traffic,1
Unburdened roadways,0
Lightweight,0
"Road expansions have improved traffic flow, reducing congestion.",0
low density,0
Quickly resolved accidents helped maintain smooth road flow.,0
Severe thunderstorms are causing vehicles to move cautiously.,1
Clear,0
Bottlenecked traffic,1
Improved drainage kept traffic low during rainy weather.,0
An overflow parking situation is causing heavy congestion near the mall.,1
long tailbacks,1
Sparse vehicle presence,0
Traffic is backed up because of rain and poor visibility.,1
Luminous,0
Congested highway,1
Reduced traffic volume,0
Heavy traffic conditions,1
traffic jams,1
Construction near the airport is backing up cars on multiple lanes.,1
no delay,0
Traffic absence,0
Traffic is heavy near the central business district.,1
Freeway freedom,0
busiest hours,1
The roads are jammed with vehicles after work hours.,1
Empty streetscape,0
empty streets,0
An accident in the tunnel has brought traffic to a standstill.,1
Low congestion risk,0
rapid flow,1
Toll booth backups are affecting flow on the main interstate.,1
heavy commuter flow,1
Drivers enjoyed smooth traffic thanks to fewer accidents and disruptions.,0
Heavy traffic,1
Roadway congestion,1
"The drive is slow due to slippery, wet roads.",1
steady flow,0
Overburdened roads,1
Clear roads,0
high traffic volumes,1
Low rush hour,0
minimal traffic,0
Low traffic occupancy,0
Low traffic intervals,0
rush hours,1
Clear,0
Low commute stress,0
Few vehicles,0
Heavy traffic jam,1
"A section of the highway is closed for bridge maintenance, affecting traffic.",1
High road usage,1
Effortless driving,0
Drivers are facing long wait times due to heavy traffic.,1
intense traffic build-up,1
Low commute stress,0
Heavy traffic is typical during the morning commute.,1
Improved drainage kept traffic low during rainy weather.,0
substantial flow,1
The completed overpass project has reduced traffic below significantly.,0
Non-rush hours,0
Traffic-free,0
extensive road delays,1
Quiet,0
The road was clear with minimal traffic after the accident was cleared.,0
Thick traffic,1
Lightweight,0
Oil spill cleanup is restricting traffic in the left lane of the highway.,1
There are delays due to a high volume of vehicles on the road.,1
Minimal traffic congestion,0
Uncrowded roads,0
Quiet roads,0
Unhindered passage,0
Soft touch,0
thick traffic atmosphere,1
Heavy congestion during rush hour.,1
Traffic jam,1
Traffic downtime,0
Sparse vehicle presence,0
Definite,0
Clear intersections,0
traffic bottleneck,1
Sidewalk construction is affecting the flow of vehicles in the area.,1
traffic is perfect,0
heavy traffic,1
Traffic is heavy across the city due to construction projects.,1
High-density traffic,1
Lane closures for construction are adding to delays.,1
Straightforward,0
Low traffic intensity,0
heavy commute times,1
smooth flow,0
An absence of heavy vehicles helped keep traffic low.,0
fast flow,1
Traffic bottlenecking,1
smooth traffic,0
Packed thoroughfares,1
Traffic is crawling due to bad weather conditions.,1
high volume flow,1
expected delays,1
Unobstructed,0
Well-lit,0
Overcrowded highways,1
no congestion,0
Traffic jammed,1
Congested streets,1
Roads were clear with low congestion due to limited construction work.,0
traffic-heavy routes,1
Weekend travel has caused traffic to build up on main routes.,1
Few traffic delays,0
Open transit routes,0
Roads are crowded with vehicles heading out of town.,1
Traffic jammed,1
Road blockage,1
Overcrowded intersections,1
Low volume,0
Smooth travel,0
Upgraded highways have significantly reduced city congestion.,0
substantial flow,1
Clear lanes,0
Low volume,0
saturated traffic patterns,1
A vehicle breakdown in the left lane is creating a long delay.,1
traffic jam report in the downtown area,1
Heavy downpours have led to traffic build-up.,1
intense traffic build-up,1
 no obstacles,0
The weather is causing heavy delays on major routes.,1
Bright,0
Moderate traffic; expect delays.,1
Empty city streets,0
Merging traffic on the freeway is causing congestion near the city limits.,1
Traffic is backed up because of rain and poor visibility.,1
traffic is flowing well,0
Improved drainage kept traffic low during rainy weather.,0
heavy_traffic,1
Road resurfacing on the bridge is causing lane closures and delays.,1
Dense street traffic,1
Low rainfall contributed to smooth and low traffic on major routes.,0
sparse traffic,0
Traffic remained light on back roads during the holiday period.,0
Uncongested passageways,0
High traffic flow,1
The early end to construction kept traffic minimal.,0
Traffic is moving slowly due to a detour around flood-affected areas.,1
Ideal traffic conditions,0
The roads are heavily trafficked due to rain and fog.,1
no light traffic,1
highway congestion,1
Good visibility due to clear weather helped reduce delays.,0
Traffic is heavy across the city due to construction projects.,1
slow-moving traffic lanes,1
Few traffic light stops led to minimal congestion in intersections.,0
littile to no congestion,0
Lane closures for construction are adding to delays.,1
Speed bumps installed near the hospital are affecting traffic flow.,1
Low traffic hindrance,0
traffic is perfect,0
Heavy traffic jam,1
Good weather helped keep traffic light on the main highways.,0
Easy,0
Heavy vehicle congestion,1
Efficient traffic light timing led to reduced congestion and low traffic.,0
Completed lane expansions helped maintain low traffic volumes.,0
Few traffic light stops led to minimal congestion in intersections.,0
Roads are open and fast,0
Traffic is crawling near the concert venue due to increased cars.,1
A broken-down bus is blocking one lane on the city’s main road.,1
Traffic gridlock,1
The presence of alternate routes helped reduce main road traffic.,0
Parking restrictions eased congestion on main streets.,0
Jammed streets,1
Traffic is at a standstill due to high commuter volume.,1
busy commuting hours,1
Heavy traffic,1
Holiday closures of businesses resulted in lower-than-normal traffic in the area.,0
Accident-free highways kept traffic low in the city center.,0
rapid flow,1
Traffic has been crawling since the start of rush hour.,1
overwhelmed intersections,1
Smooth-flowing,0
rush hour traffic,1
Construction work on main roads is worsening traffic.,1
Jam-packed roads,1
Sparse commuting traffic,0
Traffic surge,1
The approach to the toll plaza is slow due to malfunctioning barriers.,1
Clear commute,0
The road was clear thanks to early holiday travel.,0
Remote work policies have contributed to decreased traffic in business districts.,0
Low congestion,0
The roads are congested due to morning rush hour.,1
No heavy traffic,0
easy to go,0
high volume flow,1
off-peak,0
Delicate,0
harsh flow,1
Mellow,0
enjoyable driving conditions,0
intense flow,1
Less crowded,0
Low traffic periods,0
Packed intersections,1
No gridlock,0
Discerning,0
robust flow,1
Visible,0
High traffic demand,1
Light vehicle presence,0
jam-packed roads,1
Lane closures for construction are adding to delays.,1
Self-evident,0
There’s significant traffic on the way to the business district.,1
rush hour traffic,1
Overflowing traffic,1
Drivers enjoyed smooth traffic thanks to fewer accidents and disruptions.,0
Transparent,0
off-peak,0
rush hour gridlock,1
"Flooding has closed down several lanes, resulting in massive congestion.",1
Heavy traffic due to construction.,1
Roads are backed up with vehicles due to the rain.,1
Packed expressways,1
limited movement during peak hours,1
Heavy downpours have led to traffic build-up.,1
busy traffic,1
Reduced delays were seen on the expressway due to low vehicle numbers.,0
The local festival's outdoor location kept traffic low in town.,0
Dense traffic,1
Overfilled roads,1
robust flow,1
Heavy transit,1
Low traffic in residential areas was noted during mid-morning hours.,0
Busy streets,1
The low volume of buses and taxis kept the area uncongested.,0
rush hours,1
overloaded intersections,1
Smooth driving,0
Low traffic was observed due to fewer vehicles on the road at midday.,0
There’s heavy traffic on all routes leading downtown.,1
traffic jams,1
peak time,1
"Flooding has closed down several lanes, resulting in massive congestion.",1
Streets are crowded due to increased road usage at peak times.,1
rapid flow,1
Smooth roadway conditions,0
peak traffic hours,1
Minimal delays,0
frequent hold-ups in traffic,1
scattered traffic,0
Dense road traffic,1
High vehicle density,1
Mellow,0
Lane reduction at the tunnel entrance is causing a major bottleneck.,1
Heavy traffic due to construction.,1
Traffic buildup,1
Commuters are dealing with slow traffic on the freeway.,1
Smooth-flowing,0
Roadway congestion,1
Fluid,0
Slippery roads are adding to the usual traffic.,1
The city’s car-free day kept traffic low and flow smooth.,0
School closures over winter break saw reduced morning traffic.,0
Heavy downpours have led to traffic build-up.,1
Pavement repairs in the city center are causing detours and delays.,1
Busy thoroughfares,1
Direct,0
Open roads with no construction allowed for smooth movement.,0
The city is experiencing heavy traffic due to high usage.,1
Heavy traffic is slowing down everyone’s commute.,1
frequent traffic halts,1
Transparent,0
Light-handed,0
high-volume traffic periods,1
Busy roadways,1
congested traffic corridors,1
Traffic is backed up because of rain and poor visibility.,1
fast flow,1
Public awareness campaigns on carpooling helped reduce vehicle count.,0
cluttered roadways,1
High vehicle density,1
Discerning,0
Less crowded,0
intense vehicle crowding,1
Public awareness campaigns on carpooling helped reduce vehicle count.,0
Low traffic pressure,0
Traffic is moving slowly due to a detour around flood-affected areas.,1
packed expressways,1
Low rush hour,0
Open lanes,0
Many roads are backed up due to heavy commuter traffic.,1
Sunny weather conditions maintained low congestion on roads.,0
Minimal delays,0
A high volume of cars has led to traffic buildup on the freeway.,1
Crystal-clear,0
Sparse road conditions,0
peak time,1
Construction on the main road has caused severe delays for drivers.,1
School zone traffic is adding to the morning rush hour bottleneck.,1
Self-evident,0
high volume,1
High traffic is expected in popular shopping areas.,1
overwhelmed intersections,1
Busy intersections,1
vigorous flow,1
Discerning,0
There was no traffic,0
Traffic ease,0
An overturned vehicle is blocking two lanes and causing major delays.,1
Reduced commute time,0
Quick commute with minimal stops,0
Few delays occurred with low traffic on the new bypass route.,0
Open driving lanes,0
light traffic,0
Apparent,0
Heavy street traffic,1
Traffic absence,0
Traffic surge,1
Unhindered passage,0
Construction near the airport is backing up cars on multiple lanes.,1
enjoyable driving conditions,0
no backups,0
Packed intersections,1
Dense traffic,1
Low traffic incidents,0
Remote work policies have contributed to decreased traffic in business districts.,0
The evening rush is causing significant congestion.,1
Heavy rain has led to a significant traffic build-up on the highway.,1
Heavy congestion during rush hour.,1
fast flow,1
Bright,0
Quiet streets,0
The low volume of buses and taxis kept the area uncongested.,0
Traffic snarls,1
Low volumes were reported as construction had finished recently.,0
Heavy congestion is typical in the shopping district.,1
Favorable weather conditions helped maintain smooth traffic.,0
Drivers are facing a slowdown due to a marathon route along the city streets.,1
Roadworks on the freeway are causing bumper-to-bumper traffic.,1
There was no traffic,0
Busy roadways,1
Freeway freedom,0
Construction on the main road has caused severe delays for drivers.,1
carefree driving,0
Traffic is backed up because of rain and poor visibility.,1
Weather warnings about black ice are making drivers slow down.,1
Smooth ride,0
There’s heavy traffic due to a breakdown on the main road.,1
Overflowing traffic,1
Off-peak hours saw clear roads and minimal traffic congestion.,0
Dense road traffic,1
The opening of a new mall has increased traffic in the surrounding areas.,1
Daily routes were easy to navigate with minimal roadblocks.,0
frequent traffic halts,1
Traffic light issues are creating confusion at a four-way intersection.,1
Bumper-to-bumper traffic reported.,1
Moderate,0
Minimal travel disruptions,0
Few breakdowns contributed to a smooth drive on the freeway.,0
vigorous flow,1
Unclogged highways,0
overloaded intersections,1
No obstacles; all clear,0
Smooth flow,0
High-volume traffic,1
free flowing traffic,0
There is an unexpected roadblock due to a fallen tree on the route.,1
high volume,1
evening commute,1
Moderate traffic; expect delays.,1
Gliding,0
"The freeway was accident-free, allowing for steady traffic.",0
Resplendent,0
Ideal traffic conditions,0
Quickly resolved accidents helped maintain smooth road flow.,0
Free-flowing roads,0
Road blockage,1
standstill traffic,1
Traffic congestion,1
There’s heavy traffic due to a breakdown on the main road.,1
Open,0
Morning commuters are facing significant traffic delays.,1
Overloaded roads,1
The roads are congested due to morning rush hour.,1
Soft touch,0
An influx of weekend visitors is creating traffic congestion on highways.,1
Minimal roadside congestion,0
There’s heavy traffic on all routes leading downtown.,1
strong flow,1
Roads are congested due to an increase in daily commuters.,1
Traffic is heavy across the city due to construction projects.,1
Whisper-soft,0
Clear driving paths,0
Sharp,0
Bumper-to-bumper traffic reported.,1
Slippery roads from morning dew are contributing to delays.,1
road blockage,1
heavy flow,1
The presence of alternate routes helped reduce main road traffic.,0
"The holiday season saw fewer commuters, keeping traffic light.",0
Clear roadways,0
Traffic surge,1
Low traffic hindrance,0
Persistent rain has led to slow-moving traffic.,1
Seamless traffic,0
"Heavy fog has reduced visibility, leading to slower traffic flow.",1
Drivers are facing a slowdown due to a marathon route along the city streets.,1
traffic spike during rush hour,1
Open freeway,0
Overfilled roads,1
Traffic is extremely heavy near the shopping district.,1
busy roads,1
Jam-packed roads,1
Unclogged highways,0
bumper to bumper traffic reported,1
The commute has slowed down due to heavy rain.,1
traffic jams,1
constant stop-and-start flow,1
Slow moving traffic ahead.,1
Low-key,0
Refined,0
Self-evident,0
Low traffic disturbances,0
School zone traffic is adding to the morning rush hour bottleneck.,1
busy intersections,1
Crisp,0
Traffic void,0
An overturned truck has caused heavy delays on the interstate.,1
long delays due to high traffic,1
Uncongested roads,0
Low traffic density,0
Overcrowded highways,1
A major flood has led to closed streets and traffic congestion.,1
Weather alerts are causing people to take extra caution on highways.,1
